Year,Course,Title,Credit Hours/Units,Students
Summer2019,EDCI335,Learning Design,1.5,30
Summer2019,EDCI339,Open and Distributed Learning,1.5,30
Summer2019,LDRS663,Transformational Blended Learning,3,3
Summer2020,EDCI335,Learning Design,1.5,30
Summer2020,EDCI339,Open and Distributed Learning,1.5,30
Summer2020,LDRS663,Transformational Blended Learning,3,16
Fall2020,LDRS663,Transformational Blended Learning,3,10
Spring2021,LDRS663,Transformational Blended Learning,3,7
Summer2021,EDCI335,Learning Design,1.5,30
Fall2021,LDRS663,Transformational Blended Learning,3,7
Spring2022,LDRS663,Transformational Blended Learning,3,11
Summer2022,EDCI338,Social Media and Personalized Learning,1.5,30
Spring2023,LDRS663,Transformational Blended Learning,3,1
Fall2023,LDRS663,Transformational Blended Learning,3,6
Fall2023,LDRS663,Transformational Blended Learning,3,4
Fall2024,LDRS663,Transformational Blended Learning,3,1
Fall2024,LDRS463,Transformational Blended Learning,3,2